Gender,Age,Married,Number of Dependents,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,age_group,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,avg_monthly_spend,spend_change,high_bill
1,37,1,0,93225.0,34.83,-119.0,2,-0.95,1,1.26,0.0,1,16.0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,1,0.06,-0.74,0.0,0,-0.43,-0.72,0,Adult,0,1,0,0,1,0,-15.84,15.9,0
0,46,0,0,91206.0,34.16,-118.2,0,-0.95,1,-1.09,1.0,1,10.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,-1.94,-0.77,38.33,10,-0.77,-0.85,0,Adult,0,1,0,1,0,0,-16.32,14.38,0
0,50,0,0,92627.0,33.65,-117.92,0,-1.16,1,0.61,0.0,1,30.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.33,-0.88,0.0,0,-0.73,-0.91,1,Adult,1,0,0,1,0,0,5.63,-5.3,1
0,78,1,0,94553.0,38.01,-122.12,1,-0.79,1,0.18,0.0,1,4.0,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1,1.11,-0.46,0.0,0,-0.46,-0.5,1,Senior,1,0,0,1,0,0,-2.19,3.3,1
1,75,1,0,93010.0,34.23,-119.08,3,-1.2,1,-1.34,0.0,1,11.0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.65,-0.89,0.0,0,-0.86,-0.96,1,Senior,0,1,0,1,0,0,4.5,-3.85,1
1,23,0,3,95345.0,37.58,-119.97,0,-0.95,1,-0.64,0.0,1,73.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,0.18,-0.75,0.0,0,-0.71,-0.81,0,Young,0,1,0,1,0,0,-16.04,16.23,0
1,67,1,0,93437.0,34.76,-120.55,1,1.57,1,-1.15,0.0,1,14.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.49,2.48,0.0,0,-0.05,1.95,0,Senior,1,0,0,0,0,1,0.96,0.53,1
0,52,1,0,94558.0,38.49,-122.27,8,1.25,1,-0.92,1.0,1,7.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.68,1.37,0.0,20,0.08,1.11,0,Adult,0,1,0,0,0,1,0.61,0.07,1
1,68,0,0,93063.0,34.3,-118.69,0,-1.03,1,-1.1,0.0,1,21.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1,-0.51,-0.86,0.0,0,-0.8,-0.91,0,Senior,1,0,0,0,0,1,24.82,-25.33,0
1,43,1,1,95681.0,38.98,-121.35,3,1.33,1,0.23,1.0,1,14.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.87,1.62,0.0,0,1.3,1.67,0,Adult,0,1,0,0,0,1,0.7,0.17,1
0,47,0,0,92091.0,32.99,-117.21,0,0.88,0,0.0,0.47,1,10.0,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0,-0.6,0.08,0.0,0,-0.88,-0.2,0,Adult,0,1,0,0,0,1,0.04,-0.65,0
1,25,1,2,94086.0,37.38,-122.02,2,1.61,1,-0.7,1.0,1,59.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.72,2.73,0.0,0,0.48,2.29,0,Young,0,1,0,0,0,1,1.04,0.68,1
1,58,1,0,95843.0,38.72,-121.36,0,-1.12,1,-0.5,0.0,1,10.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.17,-0.85,0.0,0,-0.77,-0.9,0,Adult,1,0,0,1,0,0,7.34,-7.17,0
